# STEVAL-MKI229A (LSM6DSO16IS) 

time[us],acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps],temp[C],acc_x[LSB],acc_y[LSB],acc_z[LSB],gyro_x[LSB],gyro_y[LSB],gyro_z[LSB],temp[LSB],int_1,int_2
8839748618,5.429,133.224,996.313,4646.250,-4016.250,-2450.000,23.773,89,2184,16333,531,-459,-280,-314,0,0
8839758025,5.490,133.407,996.679,4655.000,-4033.750,-2441.250,23.789,90,2187,16339,532,-461,-279,-310,0,0
8839767433,6.466,134.322,997.655,4768.750,-4042.500,-2476.250,23.789,106,2202,16355,545,-462,-283,-310,0,0
8839776846,5.429,133.834,996.679,4838.750,-4033.750,-2458.750,23.789,89,2194,16339,553,-461,-281,-310,0,0
8839786253,6.405,134.444,996.252,4742.500,-4007.500,-2432.500,23.789,105,2204,16332,542,-458,-278,-310,0,0
8839795661,6.405,134.200,996.984,4847.500,-4016.250,-2458.750,23.781,105,2200,16344,554,-459,-281,-312,0,0
8839805074,5.795,135.237,997.350,4838.750,-4025.000,-2476.250,23.781,95,2217,16350,553,-460,-283,-312,0,0
8839814481,6.161,135.176,997.228,4795.000,-3972.500,-2467.500,23.859,101,2216,16348,548,-454,-282,-292,0,0
8839823895,6.954,134.932,996.313,4681.250,-4051.250,-2502.500,23.859,114,2212,16333,535,-463,-286,-292,0,0
8839833302,6.405,134.871,994.483,4593.750,-4007.500,-2458.750,23.797,105,2211,16303,525,-458,-281,-308,0,0
8839842710,6.405,133.529,995.154,4558.750,-4016.250,-2476.250,23.797,105,2189,16314,521,-459,-283,-308,0,0
8839852117,6.344,133.773,996.313,4672.500,-4068.750,-2467.500,23.797,104,2193,16333,534,-465,-282,-308,0,0
8839861533,5.856,133.407,997.655,4681.250,-4068.750,-2397.500,23.797,96,2187,16355,535,-465,-274,-308,0,0
8839870939,5.856,135.420,996.679,4733.750,-4025.000,-2467.500,23.805,96,2220,16339,541,-460,-282,-306,0,0
8839880345,6.161,134.261,995.581,4716.250,-4025.000,-2476.250,23.805,101,2201,16321,539,-460,-283,-306,0,0
8839889760,7.076,133.407,997.350,4786.250,-4007.500,-2450.000,23.801,116,2187,16350,547,-458,-280,-307,0,0
8839899167,6.649,134.932,998.082,4786.250,-4007.500,-2441.250,23.801,109,2212,16362,547,-458,-279,-307,0,0
8839908575,5.795,134.139,997.594,4725.000,-4033.750,-2432.500,23.793,95,2199,16354,540,-461,-278,-309,0,0
8839917988,6.588,134.261,996.923,4725.000,-4060.000,-2450.000,23.793,108,2201,16343,540,-464,-280,-309,0,0
8839927396,6.161,133.956,996.008,4760.000,-4042.500,-2450.000,23.805,101,2196,16328,544,-462,-280,-306,0,0
8839936802,6.649,135.298,997.350,4751.250,-4007.500,-2441.250,23.805,109,2218,16350,543,-458,-279,-306,0,0
8839946217,6.222,134.932,996.496,4812.500,-4016.250,-2476.250,23.805,102,2212,16336,550,-459,-283,-306,0,0
8839955624,6.100,134.017,996.801,4733.750,-3990.000,-2458.750,23.805,100,2197,16341,541,-456,-281,-306,0,0
8839965031,5.673,134.322,996.374,4803.750,-4007.500,-2441.250,23.785,93,2202,16334,549,-458,-279,-311,0,0
8839974445,5.368,134.627,996.740,4847.500,-4033.750,-2432.500,23.785,88,2207,16340,554,-461,-278,-311,0,0
8839983852,5.856,133.651,995.947,4742.500,-3998.750,-2432.500,23.797,96,2191,16327,542,-457,-278,-308,0,0
8839993258,6.771,134.566,995.520,4742.500,-4051.250,-2458.750,23.797,111,2206,16320,542,-463,-281,-308,0,0
8840002672,6.527,135.054,997.533,4786.250,-4033.750,-2458.750,23.801,107,2214,16353,547,-461,-281,-307,0,0
